illustrator_name,gig_rating,gig_price_from,gig_img_url,gig_url,gig_num_rated,gig_design_type,gig_design_style,client_origins,client_names,illustrator_origins,illustrator_response_times
designs_storm,4.9,10,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/143974554/original/7212acc02b40a55be3d78b94b064ea893399fa87.jpg",https://www.fiverr.com/designs_storm/design-flat-minimalist-modern-logo-design-in-24-hours?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=31&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=888dc812-ad75-4d78-8a5b-49ce0e05829d,1000,0,0,United States,trevornewell,India,1
pixinndesignz,4.9,20,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/104643258/original/7f0896c08074fed12e9905279f41309503cf74f4.jpg",https://www.fiverr.com/pixinndesignz/design-professional-logo-for-you?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=32&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=4511c8a8-1a54-4c3f-b409-99a521f3ca62,1000,0,0,United States,jenniferimus,Pakistan,1
marioland,5,70,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/1552664/original/2745cc4192febf6d86470696701c95382159945e.jpg",https://www.fiverr.com/marioland/create-a-beautiful-and-professional-logo-design?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=33&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=745b30ad-2373-448d-bec4-6c51665d0ca2,1000,0,0,United States,brettbarry,Australia,1
aleem_studio,4.9,20,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/106890925/original/42ef14fad455d0a8d8a6dfa1a273754649ccca04.jpg",https://www.fiverr.com/aleem_studio/make-a-perfect-logo-for-you?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=34&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=1992665e-6bf1-4abd-9c5e-471c27fbd267,1000,0,0,United Kingdom,uniwisesmart,Canada,1
ingeniousarts,4.9,30,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/137846948/original/dfcb86f1ea3b696bd3594afa8f64eeb2b65b6de3.jpg",https://www.fiverr.com/ingeniousarts/design-unique-and-modern-minimalist-logo?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=35&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=3c1c1f67-23a0-4bef-ba89-20546b8bf4b2,1000,0,0,United States,lducharme,India,3
graphixygen,4.9,30,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/154184609/original/51d50b5af09a79fbc309048d4506ea6f701a30d5.jpg",https://www.fiverr.com/graphixygen/make-a-professional-and-exclusive-logo-for-you-a8ce?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=36&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=f6675e96-6938-43c7-8a90-8330451ef3da,1000,0,0,United States,benitotucker,Sri Lanka,1
majidmozafari,4.9,20,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/175163410/original/93c325dc47500a50fe12b261d9d1253cc7c16774.png",https://www.fiverr.com/majidmozafari/design-a-beautiful-logo-for-your-brand-with-unlimited-revisions?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=38&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=de44df0b-848c-473c-9b8b-3234915278e7,300,0,0,Netherlands,w00rtzl,Germany,1
romisriyoool,4.9,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/127942188/original/14b2092c5fa6b50f36a0c97615b7b29779b23a5b.jpg",https://www.fiverr.com/romisriyoool/do-modern-minimalist-logo-design?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=39&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=8ce155d3-978b-4a37-870d-4e64aae391f3,1000,0,0,United States,sgrosch21,Pakistan,1
johnny_bhai,4.9,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/257137257/original/afd9dc82ac5c64a34b849a8705ddc107825f4dc3.jpg",https://www.fiverr.com/johnny_bhai/do-modern-minimalist-business-logo-design?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=40&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=ea324368-6ce3-4953-b3ff-d7ea19466db7,309,0,0,United States,haystech9,Pakistan,1
delengo,4.9,10,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/207545344/original/7b59d85b0e99f0430f9a5a08db231a3dea960323.jpg",https://www.fiverr.com/delengo/do-professional-business-logo?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=41&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=644856d6-c3f6-4232-a2ac-ffa1bf00114b,131,0,0,New Zealand,aryan_prashar,Sri Lanka,1
